code,name,country,region,lat,lng
ZOS,Osorno,Chile,Los Lagos,-40.576190,-73.114947
BAV,Baotou,China,Inner Mongolia,40.657978,109.840313
KWL,Guilin,China,,25.234479,110.179953
NNG,Nanning,China,Guangxi,22.817002,108.366543
URC,Urumqi,China,,43.825592,87.616848
XIN,Xingning,China,,24.136708,115.731168
XNN,Xining,China,Qinghai,36.617134,101.778223
YNJ,Yanji,China,,42.891255,129.508945
YIH,Yichang,China,Hubei,30.691966,111.286471
PEI,Pereira,Colombia,Risaralda,4.808717,-75.690601
ADZ,San Andres Island,Colombia,,12.545015,-81.707579
ZAD,Zadar,Croatia,Zagrebačka županija,44.119371,15.231365
GMA,Gemena,"Congo, The Democratic Republic Of The",,3.251553,19.777026
GOM,Goma,"Congo, The Democratic Republic Of The",,-1.658501,29.220455
KGA,Kananga,"Congo, The Democratic Republic Of The",,-5.897522,22.417226
FKI,Kisangani,"Congo, The Democratic Republic Of The",,0.518530,25.200773
FBM,Lubumbashi,"Congo, The Democratic Republic Of The",,-11.687603,27.502617
MDK,Mbandaka,"Congo, The Democratic Republic Of The",,0.026572,18.297069
LTX,Latacunga,Ecuador,Cotopaxi,-0.931556,-78.605850
ASW,Aswan,Egypt,,24.088938,32.899829
HRG,Hurghada,Egypt,,27.257896,33.811607
JOE,Joensuu,Finland,Pohjois-Karjala,62.601016,29.763572
JYV,Jyvaskyla,Finland,,62.242603,25.747257
KAJ,Kajaani,Finland,,64.222178,27.727850
KEM,Kemi/Tornio,Finland,,65.780963,24.575908
KUO,Kuopio,Finland,Pohjois-Savo,62.897970,27.678173
KAO,Kuusamo,Finland,Pohjois-Pohjanmaa,65.964588,29.188665
POR,Pori,Finland,,61.485139,21.797418
BIA,Bastia,France,Haute-Corse,42.697283,9.450881
BES,Brest,France,Finistère,48.390394,-4.486076
CLY,Calvi,France,Haute-Corse,42.567651,8.757222
PUF,Pau,France,Pyrénées-Atlantiques,43.2951,-0.370797
JTY,Astypalaia Island,Greece,,36.538981,26.313136
CHQ,"Chania, Crete",Greece,,35.513830,24.018037
JKH,Chios,Greece,,38.368182,26.131006
IOA,Ioannina,Greece,,39.665029,20.853747
AOK,Karpathos,Greece,,35.506563,27.212351
KSJ,Kasos Island,Greece,,35.401053,26.926367
KIT,Kythira,Greece,,36.263269,22.977370
LXS,Lemnos,Greece,,39.919841,25.141484
LRS,Leros,Greece,,37.140914,26.848843
KZS,Megisti,Greece,,36.144480,29.586158
JMK,Mikonos,Greece,,37.446735,25.328885
MJT,Mytilene,Greece,,39.106738,26.557275
JNX,Naxos,Greece,,37.103567,25.377673
JTR,Santorini,Greece,,36.393156,25.461509
JSH,Sitia,Greece,,35.208650,26.105233
SKU,Skiros,Greece,,38.816297,24.595536
JSY,Spyros Island,Greece,,,
ZTH,Zakinthos,Greece,,,
LLU,Alluitsup Paa,Greenland,,60.463002,-45.570570
JAV,Ilulissat,Greenland,,69.219812,-51.098603
SFJ,Kangerlussuaq,Greenland,,67.009478,-50.721150
KUS,Kulusuk,Greenland,,65.568090,-37.1873
JSU,Maniitsoq,Greenland,,65.407676,-52.900572
JNN,Nanortalik,Greenland,,60.142496,-45.239495
GOH,Nuuk,Greenland,,64.181410,-51.694138
JFR,Paamiut,Greenland,,61.994115,-49.666571
NAQ,Qaanaaq,Greenland,,77.467043,-69.228483
JJU,Qaqortoq,Greenland,,60.718986,-46.035346
JCH,Qasigiannguit,Greenland,,68.821974,-51.181789
JGO,Qeqertarsuaq,Greenland,,69.243766,-53.541319
JHS,Sisimiut,Greenland,,66.939472,-53.673386
AGM,Tasiilaq,Greenland,,65.613456,-37.633570
LKO,Lucknow,India,Uttar Pradesh,26.846694,80.946166
TRZ,Tiruchirapally,India,,10.790483,78.704673
VNS,Varanasi,India,Uttar Pradesh,25.317645,82.973914
AMI,Mataram,Indonesia,Nusa Tenggara Barat (NTB),-8.576995,116.100489
BND,"Bandar Abbas, Iran","Iran, Islamic Republic Of",,27.183222,56.266646
KIK,Kirkuk,Iraq,,35.465576,44.380392
OSM,Mosul,Iraq,,36.356648,43.1640
AHO,Alghero,Italy,Sassari,,
CAG,Cagliari,Italy,Cagliari,39.223841,9.121661
SUF,Lamezia Terme,Italy,Catanzaro,38.962912,16.309272
PEG,Perugia,Italy,Perugia,43.110717,12.390828
REG,Reggio Calabria,Italy,Reggio Calabria,38.111301,15.647291
RMI,Rimini,Italy,Rimini,44.067829,12.569516
VBS,Verona-Brescia,Italy,,45.529969,10.226571
AXT,Akita,Japan,Akita,39.718614,140.102364
KMJ,Kumamoto,Japan,Kumamoto,32.8031,130.707891
OIT,Oita,Japan,Oita,33.239558,131.609272
SDJ,Sendai,Japan,,38.268215,140.869356
TAK,Takamatsu,Japan,Kagawa,34.342788,134.046574
TKS,Tokushima,Japan,Tokushima,34.070270,134.554844
CIT,Shimkent,Kazakhstan,,42.341685,69.590101
EDL,Eldoret,Kenya,,0.514278,35.269780
KLJ,Klaipeda,Lithuania,,55.703295,21.144279
PLQ,Palanga,Lithuania,,55.920198,21.067762
SMS,St. Marie,Madagascar,,-16.894420,49.905941
AOR,Alor Setar,Malaysia,,6.1248,100.367818
XPQ,Port Klang,Malaysia,,2.999852,101.392830
SDK,"Sandakan, Sabah",Malaysia,,5.839444,118.117173
TWU,"Tawau, Sabah",Malaysia,,4.244651,117.891186
KWA,Kwajalein,Marshall Islands,,8.716667,167.733333
CUU,Chihuahua,Mexico,Chihuahua,28.632996,-106.0691
ZIH,Ixtapa/Zihuatanejo,Mexico,Guerrero,17.662566,-101.587340
BJX,Leon/Guanajuato,Mexico,,21.125008,-101.685961
MZT,Mazatlan,Mexico,Sinaloa,23.249415,-106.411143
TSA,Taipei,"Taiwan, ROC",,,
GRK,Killeen/Fort Hood,United States,Illinois,,
LSA,Losuia,Papua New Guinea,,,
GKA,Goroka,Papua New Guinea,,,
PVR,Puerto Vallarta,Mexico,Jalisco,20.653407,-105.225332
SLP,San Luis Potosi,Mexico,,22.156470,-100.985541
TIJ,Tijuana,Mexico,Baja California,32.514947,-117.038247
TKK,"Truk, Caroline Is.","Micronesia, Federated States Of",,,
FEZ,Fez,Morocco,,34.018125,-5.007845
OZZ,Ouarzazate,Morocco,,30.933544,-6.937016
OUD,Oujda,Morocco,,34.681962,-1.900155
VPY,Chimoio,Mozambique,,-19.105488,33.460774
VXC,Lichinga,Mozambique,,-13.302356,35.247811
UEL,Quelimane,Mozambique,,-17.850264,36.921858
MDL,Mandalay,Myanmar,,21.958828,96.089103
BHE,Blenheim,New Zealand,Marlborough,-41.513443,173.961250
HLZ,Hamilton,New Zealand,Waikato,-37.787001,175.279253
